# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
5.52849;0.45517;37549.45686;633827.66638;241044193.74979;16.95241;410.10231;0.01800;1329.88179;15.43943;29.91826;0.00258;179.50955;-1.51298;-380.18405;-0.01542;-1150.37224;0.00000;0.00000;0.00000;0.00000
4.39162;0.38285;26473.31934;606877.17456;238716850.58234;16.13295;304.20649;0.01800;1025.63185;12.31942;23.87236;0.00245;143.23419;-3.81353;-280.33413;-0.01555;-882.39767;0.00000;0.00000;0.00000;0.00000
5.25002;0.80150;26534.27557;579108.15308;242069161.14236;15.41187;304.82379;0.01800;1031.58082;15.61455;30.25762;0.00298;181.54570;0.20269;-274.56618;-0.01502;-850.03513;1.00000;0.00000;0.00000;0.00000
4.94353;0.70764;36055.01807;636941.33247;233238736.69976;17.02223;396.55053;0.01800;1279.24207;14.58154;28.25585;0.00240;169.53510;-2.44069;-368.29468;-0.01560;-1109.70697;0.00000;0.00000;0.00000;0.00000
5.01227;0.97405;25978.62347;563978.58396;222754673.16618;15.01098;299.18258;0.01800;991.74454;15.44633;29.93163;0.00291;179.58977;0.43535;-269.25095;-0.01509;-812.15477;1.00000;0.00000;0.00000;0.00000
5.02087;0.55401;37234.52367;605389.69732;249959952.94487;16.20192;407.26555;0.01800;1332.72778;14.38469;27.87441;0.00238;167.24648;-1.81722;-379.39113;-0.01562;-1165.48131;0.00000;0.00000;0.00000;0.00000
4.54478;0.93165;35688.21339;588477.39715;249867136.78566;15.74565;393.18919;0.01800;1290.54934;14.13067;27.38217;0.00226;164.29301;-1.61498;-365.80702;-0.01574;-1126.25633;0.00000;0.00000;0.00000;0.00000
5.15080;0.63233;28637.47738;596663.63953;246199163.99185;15.89496;325.88890;0.01800;1094.07431;14.92204;28.91567;0.00279;173.49401;-0.97292;-296.97323;-0.01521;-920.58030;0.00000;0.00000;0.00000;0.00000
5.04497;1.16188;32732.12707;638181.76867;256595078.45734;17.02395;365.59517;0.01800;1218.75556;16.01533;31.03423;0.00264;186.20538;-1.00862;-334.56094;-0.01536;-1032.55018;0.00000;0.00000;0.00000;0.00000
5.31614;0.66835;24620.68900;555204.37340;248002815.84320;14.76489;285.26268;0.01800;987.12635;15.44158;29.92242;0.00311;179.53451;0.67669;-255.34026;-0.01489;-807.59183;1.00000;0.00000;0.00000;0.00000
3.94174;0.50157;31174.17738;634664.72108;243117385.72759;16.91543;350.69073;0.01800;1159.12788;11.46493;22.21654;0.00205;133.29927;-5.45050;-328.47418;-0.01595;-1025.82861;0.00000;0.00000;0.00000;0.00000
5.16340;1.00292;31868.77464;590306.22266;239537970.22052;15.76230;357.36656;0.01800;1173.43927;15.91076;30.83160;0.00271;184.98960;0.14846;-326.53496;-0.01529;-988.44967;1.00000;0.00000;0.00000;0.00000
4.57245;0.63767;36020.82032;616588.97309;236392312.48339;16.48740;396.23773;0.01800;1282.34847;13.44349;26.05057;0.00222;156.30342;-3.04391;-370.18716;-0.01578;-1126.04506;0.00000;0.00000;0.00000;0.00000
5.09594;0.91550;28577.90886;579446.69618;235892688.75341;15.44501;325.29853;0.01800;1079.26176;15.51114;30.05722;0.00281;180.34333;0.06613;-295.24131;-0.01519;-898.91843;1.00000;0.00000;0.00000;0.00000
5.38802;1.00782;32460.36224;603897.11704;241378531.68468;16.12388;363.01325;0.01800;1191.88637;16.50298;31.97920;0.00279;191.87519;0.37910;-331.03405;-0.01521;-1000.01119;1.00000;0.00000;0.00000;0.00000
5.62098;1.17376;34760.06189;624645.19426;256833189.97462;16.68850;384.62199;0.01800;1274.22017;17.53224;33.97368;0.00283;203.84207;0.84374;-350.64831;-0.01517;-1070.37809;1.00000;0.00000;0.00000;0.00000
4.73801;0.61976;32019.13006;618548.86877;235362171.28467;16.50321;358.80511;0.01800;1172.18392;13.82449;26.78886;0.00243;160.73315;-2.67872;-332.01625;-0.01557;-1011.45077;0.00000;0.00000;0.00000;0.00000
