# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
4.66948;2.26993;29115.20031;610153.70538;239320363.29842;22.56072;330.61026;0.01800;1098.26351;17.90554;34.69704;0.00277;208.18226;-4.65518;-295.91321;-0.01523;-890.08125;0.00000;0.00000;0.00000;0.00000
4.85715;0.62767;28474.01804;603484.54192;238946295.86043;22.30656;324.26803;0.01800;1080.34455;14.15230;27.42409;0.00264;164.54453;-8.15426;-296.84394;-0.01536;-915.80002;0.00000;0.00000;0.00000;0.00000
5.05126;0.63565;30960.62152;629399.39194;225260436.47543;23.29315;348.62825;0.01800;1130.46226;14.67376;28.43456;0.00263;170.60736;-8.61939;-320.19369;-0.01537;-959.85490;0.00000;0.00000;0.00000;0.00000
4.43111;0.84451;25133.52169;610693.89008;238434126.90275;22.47314;290.54190;0.01800;988.82747;13.61251;26.37809;0.00261;158.26854;-8.86063;-264.16381;-0.01539;-830.55893;0.00000;0.00000;0.00000;0.00000
4.34150;0.48687;37472.07162;597637.88472;244048735.17072;22.25568;409.40621;0.01800;1331.62273;12.45848;24.14182;0.00205;144.85093;-9.79720;-385.26438;-0.01595;-1186.77180;0.00000;0.00000;0.00000;0.00000
5.36222;0.42764;31032.90508;643247.10962;255395336.98488;23.79211;349.32687;0.01800;1171.00105;14.93939;28.94929;0.00276;173.69576;-8.85272;-320.37758;-0.01524;-997.30529;0.00000;0.00000;0.00000;0.00000
4.43548;0.79788;31033.99559;583203.14530;234556146.66285;21.63073;349.33741;0.01800;1144.35655;13.50347;26.16679;0.00235;157.00072;-8.12726;-323.17062;-0.01565;-987.35583;0.00000;0.00000;0.00000;0.00000
4.20494;1.21337;26712.21907;565585.73826;231788263.25183;20.90634;306.62364;0.01800;1023.26134;13.98069;27.09154;0.00247;162.54922;-6.92565;-279.53210;-0.01553;-860.71211;0.00000;0.00000;0.00000;0.00000
5.92629;1.01988;28621.88841;606252.88236;232256640.19826;22.40930;325.73443;0.01800;1075.80386;17.92298;34.73084;0.00326;208.38506;-4.48632;-291.00359;-0.01474;-867.41881;0.00000;0.00000;0.00000;0.00000
4.99126;1.42447;25237.13494;661732.25528;253292032.31752;24.28426;291.60524;0.01800;1010.66387;16.55432;32.07867;0.00302;192.47202;-7.72995;-259.52657;-0.01498;-818.19185;0.00000;0.00000;0.00000;0.00000
5.29550;0.59054;27865.17318;570192.04605;239000013.30210;21.09796;318.20655;0.01800;1063.85273;15.18758;29.43023;0.00290;176.58135;-5.91039;-288.77632;-0.01510;-887.27138;0.00000;0.00000;0.00000;0.00000
5.20369;0.56028;30976.31455;599529.78330;239716754.24084;22.21852;348.77997;0.01800;1149.39320;14.87258;28.81983;0.00270;172.91897;-7.34594;-319.96014;-0.01530;-976.47423;0.00000;0.00000;0.00000;0.00000
5.64643;0.64841;25388.76365;618492.87547;246431288.89885;22.75809;293.15934;0.01800;1006.00642;16.24236;31.47416;0.00324;188.84494;-6.51573;-261.68519;-0.01476;-817.16148;0.00000;0.00000;0.00000;0.00000
4.01881;0.58116;31295.24434;633607.27894;248450874.62094;23.45165;351.85788;0.01800;1169.24777;11.86915;22.99984;0.00210;137.99903;-11.58250;-328.85804;-0.01590;-1031.24873;0.00000;0.00000;0.00000;0.00000
5.21267;0.35717;32189.21874;624081.33983;217670468.59773;23.12730;360.42966;0.01800;1154.16495;14.37171;27.84924;0.00262;167.09546;-8.75559;-332.58041;-0.01538;-987.06949;0.00000;0.00000;0.00000;0.00000
