# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
4.47600;0.71331;25797.53116;618100.73316;230472513.72024;10.35215;297.33720;0.01800;996.69767;13.38981;25.94655;0.00258;155.67928;3.03766;-271.39065;-0.01542;-841.01839;1.00000;0.00000;0.00000;0.00000
4.65693;1.33993;33060.33132;583525.44654;243780487.77864;9.81175;368.70318;0.01800;1211.28004;15.47351;29.98429;0.00246;179.90577;5.66176;-338.71888;-0.01554;-1031.37427;1.00000;0.00000;0.00000;0.00000
6.36566;0.87865;25470.25718;573063.18895;235433970.91565;9.60664;293.99363;0.01800;994.14648;18.69227;36.22156;0.00367;217.32935;9.08563;-257.77207;-0.01433;-776.81712;1.00000;0.00000;0.00000;0.00000
4.89854;0.32310;28227.54354;587810.39684;238702124.00744;9.86420;321.81879;0.01800;1073.32790;13.47324;26.10821;0.00263;156.64924;3.60904;-295.71059;-0.01537;-916.67867;1.00000;0.00000;0.00000;0.00000
4.31986;0.65246;26863.60424;593184.26208;245766394.06525;9.94655;308.15229;0.01800;1045.27102;12.82993;24.86161;0.00244;149.16965;2.88338;-283.29068;-0.01556;-896.10137;1.00000;0.00000;0.00000;0.00000
4.25532;0.52140;39352.56953;557393.27196;261691747.57018;9.39276;426.14752;0.01800;1405.35533;12.32520;23.88356;0.00197;143.30138;2.93245;-402.26396;-0.01603;-1262.05395;1.00000;0.00000;0.00000;0.00000
4.42944;0.78818;25467.79853;600463.19872;246803013.78559;10.05916;293.96847;0.01800;1008.63198;13.46287;26.08812;0.00258;156.52873;3.40371;-267.88035;-0.01542;-852.10325;1.00000;0.00000;0.00000;0.00000
4.45954;0.57119;33480.10608;631093.96934;232486076.64791;10.60364;372.66220;0.01800;1208.24106;12.98063;25.15365;0.00224;150.92190;2.37700;-347.50855;-0.01576;-1057.31916;1.00000;0.00000;0.00000;0.00000
3.74550;0.98954;20718.23759;586986.00285;239412109.55649;9.80407;244.20414;0.01800;869.98356;12.21766;23.67517;0.00248;142.05101;2.41359;-220.52898;-0.01552;-727.93255;1.00000;0.00000;0.00000;0.00000
5.40310;0.81794;16474.57929;595948.64391;258681253.51820;9.90468;197.77856;0.01800;779.22056;16.05197;31.10523;0.00389;186.63140;6.14729;-166.67332;-0.01411;-592.58916;1.00000;0.00000;0.00000;0.00000
4.93811;0.50095;22065.33282;589716.42596;271395872.60179;9.85963;258.55419;0.01800;947.56377;14.03423;27.19530;0.00303;163.17179;4.17461;-231.35889;-0.01497;-784.39198;1.00000;0.00000;0.00000;0.00000
5.32612;1.12205;32337.55183;621185.65851;250796965.90574;10.43481;361.84398;0.01800;1200.60153;16.63801;32.24085;0.00278;193.44512;6.20320;-329.60313;-0.01522;-1007.15641;1.00000;0.00000;0.00000;0.00000
5.02336;0.53786;32243.01703;640935.62077;239651752.25831;10.76207;360.94287;0.01800;1183.76431;14.34945;27.80612;0.00255;166.83675;3.58738;-333.13675;-0.01545;-1016.92756;1.00000;0.00000;0.00000;0.00000
4.55411;1.26140;21891.59517;606775.67335;232975842.82713;10.13852;256.71391;0.01800;893.66047;15.00559;29.07757;0.00295;174.46545;4.86707;-227.63634;-0.01505;-719.19502;1.00000;0.00000;0.00000;0.00000
5.40722;1.26743;22728.47915;639135.46124;254190196.20531;10.67651;265.54988;0.01800;943.57808;17.22239;33.37325;0.00339;200.23948;6.54587;-232.17663;-0.01461;-743.33860;1.00000;0.00000;0.00000;0.00000
5.33405;0.24729;33156.10759;593282.08260;253311514.40873;9.97428;369.60807;0.01800;1226.08486;14.40136;27.90671;0.00263;167.44026;4.42708;-341.70136;-0.01537;-1058.64460;1.00000;0.00000;0.00000;0.00000
3.68245;1.12396;26896.74558;623519.67075;239210604.26448;10.44800;308.48663;0.01800;1037.78105;12.40183;24.03206;0.00217;144.19233;1.95383;-284.45458;-0.01583;-893.58872;1.00000;0.00000;0.00000;0.00000
3.56350;0.62248;22797.51250;593638.75540;251347885.42230;9.92948;266.27553;0.01800;941.81763;10.80094;20.92988;0.00220;125.57927;0.87146;-245.34565;-0.01580;-816.23837;1.00000;0.00000;0.00000;0.00000
5.92175;0.84436;25079.11198;620815.22453;245150667.20877;10.39243;289.98308;0.01800;995.94470;17.45837;33.83054;0.00345;202.98322;7.06594;-256.15254;-0.01455;-792.96148;1.00000;0.00000;0.00000;0.00000
5.05352;0.39706;29610.38849;634856.08942;231544480.08867;10.64958;335.47946;0.01800;1101.77950;14.06397;27.25291;0.00266;163.51748;3.41439;-308.22655;-0.01534;-938.26203;1.00000;0.00000;0.00000;0.00000
4.96534;0.74102;24126.41289;635393.50373;239208889.73609;10.62592;280.14889;0.01800;962.42581;14.72393;28.53177;0.00295;171.19064;4.09801;-251.61712;-0.01505;-791.23517;1.00000;0.00000;0.00000;0.00000
4.48785;1.05241;32486.24103;616937.30805;230903030.56204;10.36487;363.25944;0.01800;1179.18164;14.29535;27.70127;0.00236;166.20764;3.93048;-335.55816;-0.01564;-1012.97399;1.00000;0.00000;0.00000;0.00000
5.15838;0.79516;27656.68114;652114.44700;252055301.42954;10.92443;316.12210;0.01800;1074.89251;15.36172;29.76767;0.00287;178.60603;4.43729;-286.35443;-0.01513;-896.28648;1.00000;0.00000;0.00000;0.00000
4.46533;0.35744;36881.35848;614247.36924;230972749.74071;10.33475;404.07228;0.01800;1298.81807;12.44404;24.11384;0.00211;144.68306;2.10929;-379.95844;-0.01589;-1154.13501;1.00000;0.00000;0.00000;0.00000
4.93810;0.69981;25713.26528;603903.32095;253393056.60456;10.11737;296.47735;0.01800;1023.74393;14.54731;28.18953;0.00284;169.13720;4.42994;-268.28782;-0.01516;-854.60673;1.00000;0.00000;0.00000;0.00000
4.50628;0.61923;24389.59056;591437.02125;237866255.20606;9.90378;282.87486;0.01800;967.86567;13.22519;25.62755;0.00266;153.76529;3.32141;-257.24731;-0.01534;-814.10038;1.00000;0.00000;0.00000;0.00000
5.76557;0.52932;25820.96953;620961.91734;245395018.13143;10.39949;297.57623;0.01800;1016.43599;16.24250;31.47443;0.00326;188.84658;5.84301;-266.10180;-0.01474;-827.58941;1.00000;0.00000;0.00000;0.00000
