# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
5.49884;0.87300;23975.54375;571398.59356;240611399.88088;21.04112;278.58300;0.01800;960.11738;16.44106;31.85920;0.00329;191.15522;-4.60006;-246.72379;-0.01471;-768.96216;0.00000;0.00000;0.00000;0.00000
5.28359;2.30513;20995.41962;606723.67570;248458677.53043;22.17994;247.17209;0.01800;889.10252;19.58093;37.94359;0.00365;227.66156;-2.59901;-209.22850;-0.01435;-661.44096;0.00000;0.00000;0.00000;0.00000
5.58506;0.72573;21539.60623;597869.02132;243344572.38790;21.89220;252.97604;0.01800;897.35834;16.28355;31.55399;0.00350;189.32392;-5.60865;-221.42205;-0.01450;-708.03442;0.00000;0.00000;0.00000;0.00000
5.45888;0.78196;39623.89959;585780.68617;222998422.96971;21.85010;428.53305;0.01800;1363.20805;16.10305;31.20422;0.00253;187.22532;-5.74705;-397.32883;-0.01547;-1175.98273;0.00000;0.00000;0.00000;0.00000
5.12876;0.42851;33848.85639;558393.69099;230927207.15125;20.77812;376.12504;0.01800;1216.27572;14.33925;27.78635;0.00253;166.71810;-6.43888;-348.33869;-0.01547;-1049.55762;0.00000;0.00000;0.00000;0.00000
5.43210;0.72095;28079.12726;617224.64544;240260684.69682;22.78882;320.34095;0.01800;1071.28594;15.87650;30.76521;0.00298;184.59126;-6.91232;-289.57574;-0.01502;-886.69468;0.00000;0.00000;0.00000;0.00000
5.30905;0.79924;34139.22673;617770.50940;250148860.91412;22.93551;378.84200;0.01800;1248.77751;15.76101;30.54142;0.00266;183.24853;-7.17449;-348.30057;-0.01534;-1065.52897;0.00000;0.00000;0.00000;0.00000
4.89525;0.45417;23067.29035;644048.27861;249377393.75035;23.57760;269.10662;0.01800;946.63336;13.80293;26.74708;0.00293;160.48245;-9.77467;-242.35955;-0.01507;-786.15091;0.00000;0.00000;0.00000;0.00000
4.68877;0.94672;31838.73960;608922.50891;247439436.49125;22.57397;357.07892;0.01800;1182.73620;14.54109;28.17748;0.00246;169.06487;-8.03288;-328.90144;-0.01554;-1013.67133;0.00000;0.00000;0.00000;0.00000
5.41891;0.97542;28252.22486;597686.73711;256626046.04413;22.09348;322.06433;0.01800;1096.94186;16.49909;31.97165;0.00300;191.82989;-5.59439;-290.09269;-0.01500;-905.11196;0.00000;0.00000;0.00000;0.00000
