# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
5.24488;1.03822;28384.13572;615991.56984;237461707.49945;16.39549;323.37559;0.01800;1075.99948;16.21209;31.41550;0.00292;188.49300;-0.18340;-291.96009;-0.01508;-887.50648;0.00000;0.00000;0.00000;0.00000
4.48513;0.68646;26872.91332;664938.13972;243702277.55444;17.64388;308.24622;0.01800;1042.88216;13.34411;25.85798;0.00253;155.14791;-4.29977;-282.38823;-0.01547;-887.73425;0.00000;0.00000;0.00000;0.00000
4.61342;0.73488;32359.21432;613622.32130;239007434.01814;16.37763;362.05034;0.01800;1186.10014;13.80006;26.74151;0.00238;160.44907;-2.57757;-335.30883;-0.01562;-1025.65107;0.00000;0.00000;0.00000;0.00000
4.55040;0.53102;32194.57943;585012.49108;258556371.40464;15.62648;360.48081;0.01800;1206.64472;13.11142;25.40709;0.00232;152.44255;-2.51506;-335.07372;-0.01568;-1054.20216;0.00000;0.00000;0.00000;0.00000
5.49160;1.02369;33953.35267;643180.65906;242480120.36127;17.16688;377.10380;0.01800;1233.90575;16.81122;32.57649;0.00278;195.45892;-0.35567;-344.52731;-0.01522;-1038.44683;0.00000;0.00000;0.00000;0.00000
4.70070;0.56742;28334.55196;601841.51154;236748748.44421;16.02633;322.88291;0.01800;1073.73821;13.59317;26.34061;0.00256;158.04364;-2.43317;-296.54231;-0.01544;-915.69457;0.00000;0.00000;0.00000;0.00000
3.89428;0.71499;30792.36121;562844.26620;259060822.32149;15.03271;346.99993;0.01800;1169.15008;11.89317;23.04638;0.00207;138.27827;-3.13954;-323.95355;-0.01593;-1030.87181;0.00000;0.00000;0.00000;0.00000
5.06180;0.37939;20667.32093;627382.68276;281014410.04705;16.55267;243.65809;0.01800;921.84957;14.03973;27.20595;0.00318;163.23571;-2.51294;-216.45214;-0.01482;-758.61386;0.00000;0.00000;0.00000;0.00000
4.39808;0.44870;31657.89060;602871.46934;252916659.51726;16.08938;355.34498;0.01800;1184.82795;12.50601;24.23393;0.00225;145.40359;-3.58337;-331.11105;-0.01575;-1039.42435;0.00000;0.00000;0.00000;0.00000
3.99999;1.34412;27829.22404;605423.09131;238445656.76337;16.11333;317.84745;0.01800;1062.16533;13.78924;26.72055;0.00233;160.32328;-2.32409;-291.12691;-0.01567;-901.84205;0.00000;0.00000;0.00000;0.00000
