# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
5.10992;0.43942;23101.01707;632895.97534;238653989.77473;19.78503;269.46003;0.01800;933.82477;14.31878;27.74669;0.00305;166.48015;-5.46624;-241.71334;-0.01495;-767.34462;0.00000;0.00000;0.00000;0.00000
4.87834;0.38503;26219.30955;630434.51446;236774493.17265;19.78822;301.63002;0.01800;1016.23657;13.58092;26.31687;0.00273;157.90120;-6.20730;-275.31316;-0.01527;-858.33537;0.00000;0.00000;0.00000;0.00000
4.94202;0.72172;20628.65581;637843.91452;247822504.89435;19.85448;243.24325;0.01800;878.31224;14.61399;28.31873;0.00318;169.91241;-5.24050;-214.92452;-0.01482;-708.39984;0.00000;0.00000;0.00000;0.00000
4.63157;0.95858;30701.17082;632996.55368;237750824.04561;19.95089;346.11623;0.01800;1139.39290;14.42407;27.95072;0.00248;167.70433;-5.52681;-318.16550;-0.01552;-971.68857;0.00000;0.00000;0.00000;0.00000
4.62185;0.71318;24702.04695;609914.36836;229300073.52722;19.12918;286.10200;0.01800;965.39977;13.76580;26.67513;0.00272;160.05081;-5.36338;-259.42687;-0.01528;-805.34897;0.00000;0.00000;0.00000;0.00000
5.04169;0.39232;33972.36458;604852.81429;253177952.75930;19.12839;377.28175;0.01800;1248.11610;14.02120;27.17004;0.00247;163.02021;-5.10719;-350.11171;-0.01553;-1085.09588;0.00000;0.00000;0.00000;0.00000
4.85531;0.94471;19175.13637;558527.82565;227395331.67978;17.42354;227.53686;0.01800;812.62973;14.96560;29.00008;0.00328;174.00049;-2.45794;-198.53678;-0.01472;-638.62925;0.00000;0.00000;0.00000;0.00000
4.78948;1.20455;23996.63176;587973.64003;244917015.45492;18.44524;278.80201;0.01800;966.20216;15.46621;29.97015;0.00294;179.82091;-2.97904;-248.83186;-0.01506;-786.38126;0.00000;0.00000;0.00000;0.00000
4.84484;0.54252;24879.75097;597424.95600;248517396.39039;18.75284;287.93290;0.01800;994.83149;13.90084;26.93681;0.00281;161.62086;-4.85199;-260.99609;-0.01519;-833.21063;0.00000;0.00000;0.00000;0.00000
5.70836;0.48703;31062.18528;615716.39750;260551661.56279;19.42483;349.60972;0.01800;1178.39757;15.98577;30.97695;0.00294;185.86170;-3.43906;-318.63277;-0.01506;-992.53587;0.00000;0.00000;0.00000;0.00000
